12
Elliot Alderson     | direction X | 89274301
William Achtmeier   | direction 6 | 13247566
Charles Abbot       | direction 1 | 74325189
Shinzo Abe          | direction 2 | 43120573
Neil Armstrong      | direction 3 | 96741234
Johnny Ace          | direction 4 | 41320432
William Achtmeyer   | direction 5 | 13247566
Dan Ackroyd         | direction X | 01927354
Shinso Abe          | direction X | 43120573
Dan Ackeroyd        | direction X | 01927354
Louis Adams         | direction X | 12348489
Muhammad Ali        | direction X | 53241232
