13
Ion Caraggiale      | direction 4 | 04312983
Julius Caesar       | direction 1 | 74325189
Jackie Chan         | direction 2 | 25372107
John Cena           | direction 3 | 96741234
Al Capone           | direction 4 | 13247566
Winnston Churchil   | direction 10 | 54029371
Ion Caragiale       | direction 5 | 04312983
Ya-Ki Chan          | direction 2 | 25372107
Chris Carter        | direction 6 | 43215653
Julius Ciitsar      | direction 1 | 74325189
Winston Churchill   | direction 10 | 54029371
Al Caponne          | direction 4 | 13247566
Nick Carter         | direction X | 09012535
